I (42115) main: Raw_angle: 89.51, Angle: 89.51, PID Output: -6, Delay: 5000
I (42125) main: Raw_angle: 89.51, Angle: 81.89, PID Output: 230, Delay: 5000
I (42135) main: Raw_angle: 81.89, Angle: 76.06, PID Output: 403, Delay: 4804
I (42145) main: Raw_angle: 76.06, Angle: 89.51, PID Output: -19, Delay: 4615
I (42155) main: Raw_angle: 89.51, Angle: 102.56, PID Output: -410, Delay: 5000
I (42165) main: Raw_angle: 102.56, Angle: 113.04, PID Output: -722, Delay: 4608
I (42175) main: Raw_angle: 113.04, Angle: 113.04, PID Output: -712, Delay: 4268
I (42185) main: Raw_angle: 113.04, Angle: 113.04, PID Output: -712, Delay: 4279
I (42195) main: Raw_angle: 113.04, Angle: 102.56, PID Output: -387, Delay: 4279
I (42205) main: Raw_angle: 102.56, Angle: 102.56, PID Output: -397, Delay: 4633
I (42215) main: Raw_angle: 106.23, Angle: 102.56, PID Output: -397, Delay: 4622
I (42225) main: Raw_angle: 102.56, Angle: 102.56, PID Output: -397, Delay: 4622
I (42235) main: Raw_angle: 102.56, Angle: 106.23, PID Output: -511, Delay: 4622
I (42245) main: Raw_angle: 106.23, Angle: 106.23, PID Output: -507, Delay: 4498
I (42255) main: Raw_angle: 106.23, Angle: 106.23, PID Output: -507, Delay: 4502
I (42265) main: Raw_angle: 106.23, Angle: 100.36, PID Output: -326, Delay: 4502
I (42275) main: Raw_angle: 100.36, Angle: 92.78, PID Output: -96, Delay: 4699
I (42285) main: Raw_angle: 92.78, Angle: 74.76, PID Output: 454, Delay: 4949
I (42295) main: Raw_angle: 74.76, Angle: 74.76, PID Output: 436, Delay: 4560
I (42305) main: Raw_angle: 74.76, Angle: 68.17, PID Output: 640, Delay: 4579
I (42315) main: Raw_angle: 68.17, Angle: 63.07, PID Output: 791, Delay: 4357
I (42325) main: Raw_angle: 59.48, Angle: 60.94, PID Output: 852, Delay: 4193
I (42335) main: Raw_angle: 60.94, Angle: 59.48, PID Output: 896, Delay: 4126
I (42345) main: Raw_angle: 59.48, Angle: 59.48, PID Output: 894, Delay: 4079
I (42355) main: Raw_angle: 59.48, Angle: 60.94, PID Output: 849, Delay: 4081
I (42365) main: Raw_angle: 60.94, Angle: 59.48, PID Output: 896, Delay: 4130
I (42375) main: Raw_angle: 62.12, Angle: 59.48, PID Output: 894, Delay: 4079
I (42385) main: Raw_angle: 59.48, Angle: 59.48, PID Output: 894, Delay: 4081
I (42395) main: Raw_angle: 59.48, Angle: 59.48, PID Output: 894, Delay: 4081
I (42405) main: Raw_angle: 59.48, Angle: 62.12, PID Output: 812, Delay: 4081
I (42415) main: Raw_angle: 62.12, Angle: 62.12, PID Output: 815, Delay: 4170
I (42425) main: Raw_angle: 62.12, Angle: 96.43, PID Output: -248, Delay: 4167
I (42435) main: Raw_angle: 96.43, Angle: 100.26, PID Output: -332, Delay: 4784
I (42445) main: Raw_angle: 100.26, Angle: 100.26, PID Output: -328, Delay: 4693
I (42455) main: Raw_angle: 100.26, Angle: 96.43, PID Output: -210, Delay: 4697
I (42465) main: Raw_angle: 96.43, Angle: 82.15, PID Output: 228, Delay: 4825
I (42475) main: Raw_angle: 82.15, Angle: 82.15, PID Output: 214, Delay: 4806
I (42485) main: Raw_angle: 82.15, Angle: 100.26, PID Output: -346, Delay: 4821
I (42495) main: Raw_angle: 100.26, Angle: 100.26, PID Output: -328, Delay: 4677
I (42505) main: Raw_angle: 100.26, Angle: 82.15, PID Output: 232, Delay: 4697
I (42515) main: Raw_angle: 82.15, Angle: 81.13, PID Output: 246, Delay: 4801
I (42525) main: Raw_angle: 81.13, Angle: 82.15, PID Output: 213, Delay: 4786
I (42535) main: Raw_angle: 82.15, Angle: 81.13, PID Output: 246, Delay: 4822
I (42545) main: Raw_angle: 81.13, Angle: 81.13, PID Output: 244, Delay: 4786
